Symbol;Name;Country;IPO Year;Sector;Industry
A;Agilent Technologies Inc. Common Stock;United States;1999;Capital Goods;Biotechnology: Laboratory Analytical Instruments
AA;Alcoa Corporation Common Stock ;;2016;Basic Industries;Aluminum
AACG;ATA Creativity Global American Depositary Shares;China;;Consumer Services;Other Consumer Services
AACQ;Artius Acquisition Inc. Class A Common Stock;United States;2020;Finance;Business Services
AACQU;Artius Acquisition Inc. Unit ;United States;2020;Finance;Business Services
AACQW;Artius Acquisition Inc Warrant;United States;2020;Finance;Business Services
AAIC;Arlington Asset Investment Corp Class A (new);United States;;Consumer Services;Real Estate Investment Trusts
AAIC.PRB;Arlington Asset Investment Corp;;;;
AAIC.PRC;Arlington Asset Investment Corp;;;;
AAL;American Airlines Group Inc. Common Stock;United States;;Transportation;Air Freight/Delivery Services
AAMC;Altisource Asset Management Corp Com;United States;;Finance;Real Estate
AAME;Atlantic American Corporation Common Stock;United States;;Finance;Life Insurance
AAN;Aarons Holdings Company Inc. Common Stock ;United States;2020;Technology;Diversified Commercial Services
AAOI;Applied Optoelectronics Inc. Common Stock;United States;2013;Technology;Semiconductors
AAON;AAON Inc. Common Stock;United States;;Capital Goods;Industrial Machinery/Components
AAP;Advance Auto Parts Inc Advance Auto Parts Inc W/I;United States;;Consumer Services;Other Specialty Stores
AAPL;Apple Inc. Common Stock;United States;1980;Technology;Computer Manufacturing
AAT;American Assets Trust Inc. Common Stock;United States;2011;Consumer Services;Real Estate Investment Trusts
AAU;Almaden Minerals Ltd. Common Shares;Canada;2015;Basic Industries;Precious Metals
AAWW;Atlas Air Worldwide Holdings NEW Common Stock;United States;;Transportation;Transportation Services
AB;AllianceBernstein Holding L.P.  Units;United States;;Finance;Investment Managers
ABB;ABB Ltd Common Stock;Switzerland;;Consumer Durables;Electrical Products
ABBV;AbbVie Inc. Common Stock;United States;2012;Health Care;Major Pharmaceuticals
ABC;AmerisourceBergen Corporation Common Stock;United States;;Health Care;Other Pharmaceuticals
ABCB;Ameris Bancorp Common Stock;United States;1994;Finance;Major Banks
ABCL;AbCellera Biologics Inc. Common Shares;Canada;2020;Health Care;Major Pharmaceuticals
ABCM;Abcam plc American Depositary Shares;United Kingdom;2020;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
ABEO;Abeona Therapeutics Inc. Common Stock;United States;;Health Care;Major Pharmaceuticals
ABEV;Ambev S.A. American Depositary Shares (Each representing 1 Common Share);;2013;Consumer Non-Durables;Beverages (Production/Distribution)
ABG;Asbury Automotive Group Inc Common Stock;United States;2002;Consumer Durables;Automotive Aftermarket
ABIO;ARCA biopharma Inc. Common Stock;United States;;Health Care;Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABM;ABM Industries Incorporated Common Stock;United States;;Finance;Diversified Commercial Services
ABMD;ABIOMED Inc. Common Stock;United States;;Health Care;Medical/Dental Instruments
ABNB;Airbnb Inc. Class A Common Stock;United States;2020;Finance;Diversified Commercial Services
ABR;Arbor Realty Trust Common Stock;United States;2004;Consumer Services;Real Estate Investment Trusts
ABR.PRA;Arbor Realty Trust;;;;
ABR.PRB;Arbor Realty Trust;;;;
ABR.PRC;Arbor Realty Trust;;;;
ABST;Absolute Software Corporation Common Stock;Canada;2020;Technology;Computer Software: Prepackaged Software
ABT;Abbott Laboratories Common Stock;United States;;Health Care;Major Pharmaceuticals
ABTX;Allegiance Bancshares Inc. Common Stock;United States;2015;Finance;Major Banks
ABUS;Arbutus Biopharma Corporation Common Stock;Canada;;Health Care;Major Pharmaceuticals
AC;Associated Capital Group Inc. Common Stock;United States;2015;Finance;Investment Bankers/Brokers/Service
ACA;Arcosa Inc. Common Stock ;;2018;Capital Goods;Metal Fabrications
ACAC;Acies Acquisition Corp. Class A Ordinary Share;United States;2020;Finance;Business Services
ACACU;Acies Acquisition Corp. Unit;United States;2020;Finance;Business Services
ACACW;Acies Acquisition Corp. Warrant;United States;2020;Finance;Business Services
ACAD;ACADIA Pharmaceuticals Inc. Common Stock;United States;2004;Health Care;Major Pharmaceuticals
ACB;Aurora Cannabis Inc. Common Shares;;2018;Consumer Durables;Specialty Chemicals
ACBI;Atlantic Capital Bancshares Inc. Common Stock;United States;;Finance;Major Banks
ACC;American Campus Communities Inc Common Stock;United States;2004;Consumer Services;Real Estate Investment Trusts
ACCD;Accolade Inc. Common Stock;United States;2020;;
ACCO;Acco Brands Corporation Common Stock;United States;;Consumer Durables;Publishing
ACEL;Accel Entertainment Inc. ;United States;2017;Consumer Services;Services-Misc. Amusement & Recreation
ACER;Acer Therapeutics Inc. Common Stock (DE);United States;;Health Care;Major Pharmaceuticals
ACET;Adicet Bio Inc. Common Stock ;United States;2018;Health Care;Major Pharmaceuticals
ACEV;ACE Convergence Acquisition Corp. Class A Ordinary Shares;United States;2020;Finance;Business Services
ACEVU;ACE Convergence Acquisition Corp. Unit;United States;2020;Finance;Business Services
ACEVW;ACE Convergence Acquisition Corp. Warrant;United States;2020;Finance;Business Services
ACGL;Arch Capital Group Ltd. Common Stock;Bermuda;;Finance;Property-Casualty Insurers
ACGLO;Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F;Bermuda;;Finance;Property-Casualty Insurers
ACGLP;Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs;Bermuda;;Finance;Property-Casualty Insurers
ACH;Aluminum Corporation of China Limited American Depositary Shares;China;2001;Basic Industries;Aluminum
ACHC;Acadia Healthcare Company Inc. Common Stock;United States;;Health Care;Medical Specialities
ACHV;Achieve Life Sciences Inc. Common Shares;United States;;Health Care;Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACI;Albertsons Companies Inc. Class A Common Stock;United States;2020;Consumer Services;Food Chains
ACIA;Acacia Communications Inc. Common Stock;United States;2016;Technology;Semiconductors
ACIC;Atlas Crest Investment Corp. Class A Common Stock;United States;2020;Finance;Business Services
ACIC.U;Atlas Crest Investment Corp. Units each consisting of one Class A common stock and one-third of one redeemable warrant;United States;2020;;
ACIC.WS;Atlas Crest Investment Corp. Redeemable warrants included as part of the units each whole warrant exercisable for one Class A common stock at an exercise price of $11.50;United States;;;
ACIU;AC Immune SA Common Stock;Switzerland;2016;Health Care;Major Pharmaceuticals
ACIW;ACI Worldwide Inc. Common Stock;United States;;Technology;Computer Software: Prepackaged Software
ACKIU;Ackrell SPAC Partners I Co. Units;United States;2020;Finance;Business Services
ACLS;Axcelis Technologies Inc. Common Stock;United States;2000;Technology;Industrial Machinery/Components
ACM;AECOM Common Stock;United States;2007;Consumer Services;Military/Government/Technical
ACMR;ACM Research Inc. Class A Common Stock;United States;2017;Technology;Industrial Machinery/Components
ACN;Accenture plc Class A Ordinary Shares (Ireland);Ireland;2001;Miscellaneous;Business Services
ACNB;ACNB Corporation Common Stock;United States;;Finance;Major Banks
ACND;Ascendant Digital Acquisition Corp. Class A Ordinary Shares;United States;2020;Finance;Business Services
ACND.U;Ascendant Digital Acquisition Corp. Units each consisting of one Class A ordinary share and one-half of one redeemable warrant;United States;2020;;
ACND.WS;Ascendant Digital Acquisition Corp. Warrants each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50 per share;United States;;;
ACOR;Acorda Therapeutics Inc. Common Stock;United States;2006;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
ACP;Aberdeen Income Credit Strategies Fund Common Shares;United States;2011;;
ACRE;Ares Commercial Real Estate Corporation Common Stock;United States;2012;Consumer Services;Real Estate Investment Trusts
ACRS;Aclaris Therapeutics Inc. Common Stock;United States;2015;Health Care;Major Pharmaceuticals
ACRX;AcelRx Pharmaceuticals Inc. Common Stock;United States;2011;Health Care;Major Pharmaceuticals
ACST;Acasti Pharma Inc. Class A Common Stock;Canada;;Health Care;Major Pharmaceuticals
ACTC;ArcLight Clean Transition Corp. Class A Ordinary Shares;United States;2020;Finance;Business Services
ACTCU;ArcLight Clean Transition Corp. Unit;United States;2020;Finance;Business Services
ACTCW;ArcLight Clean Transition Corp. Warrant;United States;2020;Finance;Business Services
ACTG;Acacia Research Corporation (Acacia Tech) Common Stock;United States;;Miscellaneous;Multi-Sector Companies
ACU;Acme United Corporation. Common Stock;United States;1988;Capital Goods;Industrial Machinery/Components
ACV;AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest;United States;2015;;
ACY;AeroCentury Corp. Common Stock;United States;;Technology;Diversified Commercial Services
ADAP;Adaptimmune Therapeutics plc American Depositary Shares;United Kingdom;2015;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
ADBE;Adobe Inc. Common Stock;United States;1986;Technology;Computer Software: Prepackaged Software
ADC;Agree Realty Corporation Common Stock;United States;;Consumer Services;Real Estate Investment Trusts
ADCT;ADC Therapeutics SA Common Shares;;2020;Health Care;Major Pharmaceuticals
ADERU;26 Capital Acquisition Corp. Unit;United States;2021;Finance;Business Services
ADES;Advanced Emissions Solutions Inc. Common Stock;United States;;Basic Industries;Major Chemicals
ADEX.U;Adit EdTech Acquisition Corp. Units each consisting of one share of common stock and one-half of one redeemable warrant;;2021;;
ADFI;Anfield Dynamic Fixed Income ETF;;2020;;
ADI;Analog Devices Inc. Common Stock;United States;;Technology;Semiconductors
ADIL;Adial Pharmaceuticals Inc Common Stock;United States;2018;Health Care;Major Pharmaceuticals
ADILW;Adial Pharmaceuticals Inc Warrant;United States;2018;Health Care;Major Pharmaceuticals
ADM;Archer-Daniels-Midland Company Common Stock;United States;;Consumer Non-Durables;Packaged Foods
ADMA;ADMA Biologics Inc Common Stock;United States;;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
ADME;Aptus Drawdown Managed Equity ETF;United States;2016;;
ADMP;Adamis Pharmaceuticals Corporation Common Stock;United States;;Health Care;Major Pharmaceuticals
ADMS;Adamas Pharmaceuticals Inc. Common Stock;United States;2014;Health Care;Major Pharmaceuticals
ADNT;Adient plc Ordinary Shares ;;2016;Capital Goods;Auto Parts:O.E.M.
ADOC;Edoc Acquisition Corp. Class A Ordinary Share;United States;2020;Finance;Business Services
ADOCR;Edoc Acquisition Corp. Right;United States;2020;Finance;Business Services
ADOCW;Edoc Acquisition Corp. Warrant;United States;2020;Finance;Business Services
ADP;Automatic Data Processing Inc. Common Stock;United States;;Technology;EDP Services
ADPT;Adaptive Biotechnologies Corporation Common Stock;United States;2019;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
ADS;Alliance Data Systems Corporation Common Stock;United States;2001;Miscellaneous;Business Services
ADSK;Autodesk Inc. Common Stock;United States;;Technology;Computer Software: Prepackaged Software
ADT;ADT Inc. Common Stock;United States;2018;Consumer Services;Diversified Commercial Services
ADTN;ADTRAN Inc. Common Stock;United States;1994;Public Utilities;Telecommunications Equipment
ADTX;ADiTx Therapeutics Inc. Common Stock;United States;2020;Health Care;Major Pharmaceuticals
ADUS;Addus HomeCare Corporation Common Stock;United States;2009;Health Care;Medical/Nursing Services
ADV;Advantage Solutions Inc. Class A Common Stock;United States;2019;Miscellaneous;Business Services
ADVM;Adverum Biotechnologies Inc. Common Stock;United States;2014;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
ADVWW;Advantage Solutions Inc. Warrant;United States;2019;Miscellaneous;Business Services
ADX;Adams Diversified Equity Fund Inc.;United States;;;
ADXN;Addex Therapeutics Ltd American Depositary Shares;Switzerland;;Health Care;Major Pharmaceuticals
ADXS;Advaxis Inc. Common Stock;United States;;Health Care;Major Pharmaceuticals
AE;Adams Resources & Energy Inc. Common Stock;United States;;Energy;Oil Refining/Marketing
AEACU;Authentic Equity Acquisition Corp. Unit;United States;2021;Finance;Business Services
AEB;AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands);Netherlands;;Finance;Life Insurance
AEE;Ameren Corporation Common Stock;United States;;Public Utilities;Power Generation
AEF;Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock;United States;;;
AEFC;Aegon Funding Company LLC 5.10% Subordinated Notes due 2049;;2019;Finance;Life Insurance
AEG;AEGON N.V. Common Stock;Netherlands;;Finance;Life Insurance
AEGN;Aegion Corp Common Stock;United States;;Basic Industries;Water Supply
AEHL;Antelope Enterprise Holdings Limited Common Stock (0.024 par);China;;Capital Goods;Building Materials
AEHR;Aehr Test Systems Common Stock;United States;1997;Capital Goods;Electrical Products
AEIS;Advanced Energy Industries Inc. Common Stock;United States;1995;Capital Goods;Industrial Machinery/Components
AEL;American Equity Investment Life Holding Company Common Stock;United States;2003;Finance;Life Insurance
AEL.PRA;American Equity Investment Life Holding Company;;;;
AEL.PRB;American Equity Investment Life Holding Company;;;;
AEM;Agnico Eagle Mines Limited Common Stock;Canada;;Basic Industries;Precious Metals
AEMD;Aethlon Medical Inc. Common Stock;United States;;Health Care;Medical/Dental Instruments
AENZ;Aenza S.A.A. American Depositary Shares;;2018;Basic Industries;Military/Government/Technical
AEO;American Eagle Outfitters Inc. Common Stock;United States;;Consumer Services;Clothing/Shoe/Accessory Stores
AEP;American Electric Power Company Inc. Common Stock;United States;;Public Utilities;Electric Utilities: Central
AEPPL;American Electric Power Company Inc. Corporate Unit;United States;;Public Utilities;Electric Utilities: Central
AEPPZ;American Electric Power Company Inc. Corporate Units;United States;;Public Utilities;Electric Utilities: Central
AER;AerCap Holdings N.V. Ordinary Shares;Netherlands;2006;Technology;Diversified Commercial Services
AERI;Aerie Pharmaceuticals Inc. Common Stock;United States;2013;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
AES;The AES Corporation Common Stock;United States;;Basic Industries;Electric Utilities: Central
AESE;Allied Esports Entertainment Inc. Common Stock;United States;2017;Consumer Services;Services-Misc. Amusement & Recreation
AESR;Anfield U.S. Equity Sector Rotation ETF;;2019;;
AEY;ADDvantage Technologies Group Inc. Common Stock;United States;;Consumer Services;Office Equipment/Supplies/Services
AEYE;AudioEye Inc. Common Stock;United States;;Technology;Computer Software: Prepackaged Software
AEZS;Aeterna Zentaris Inc. Common Stock;Canada;;Health Care;Major Pharmaceuticals
AFB;AllianceBernstein National Municipal Income Fund Inc;United States;2002;;
AFBI;Affinity Bancshares Inc. Common Stock (MD);United States;2017;Finance;Savings Institutions
AFC;Allied Capital Corporation Allied Capital Corporation 6.875% Notes due April 15 2047;United States;;;
AFG;American Financial Group Inc. Common Stock;United States;;Finance;Property-Casualty Insurers
AFGB;American Financial Group Inc. 5.875% Subordinated Debentures due 2059;United States;2019;Finance;Property-Casualty Insurers
AFGC;American Financial Group Inc. 5.125% Subordinated Debentures due 2059;United States;2019;Finance;Property-Casualty Insurers
AFGD;American Financial Group Inc. 5.625% Subordinated Debentures due 2060;United States;2020;Finance;Property-Casualty Insurers
AFGE;American Financial Group Inc. 4.500% Subordinated Debentures due 2060;United States;2020;Finance;Property-Casualty Insurers
AFI;Armstrong Flooring Inc. Common Stock;;2016;Consumer Non-Durables;Plastic Products
AFIB;Acutus Medical Inc. Common Stock;United States;2020;Health Care;Medical/Dental Instruments
AFIN;American Finance Trust Inc. Class A Common Stock;United States;;Consumer Services;Real Estate Investment Trusts
AFINO;American Finance Trust Inc. 7.375% Series C Cumulative Redeemable Preferred Stock;United States;;Consumer Services;Real Estate Investment Trusts
AFINP;American Finance Trust Inc. 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock;United States;;Consumer Services;Real Estate Investment Trusts
AFL;AFLAC Incorporated Common Stock;United States;;Finance;Accident &Health Insurance
AFMD;Affimed N.V.;Germany;2014;Health Care;Major Pharmaceuticals
AFRM;Affirm Holdings Inc. Class A Common Stock;United States;2021;Miscellaneous;Business Services
AFT;Apollo Senior Floating Rate Fund Inc. Common Stock;;2011;;
AFYA;Afya Limited Class A Common Shares;Brazil;2019;Consumer Services;Other Consumer Services
AG;First Majestic Silver Corp. Ordinary Shares (Canada);Canada;;Basic Industries;Precious Metals
AGBA;AGBA Acquisition Limited Ordinary Share;Hong Kong;2019;Finance;Business Services
AGBAR;AGBA Acquisition Limited Right;Hong Kong;2019;Finance;Business Services
AGBAU;AGBA Acquisition Limited Unit;Hong Kong;2019;Finance;Business Services
AGBAW;AGBA Acquisition Limited Warrant;Hong Kong;2019;Finance;Business Services
AGC;Altimeter Growth Corp. Class A Ordinary Shares;United States;2020;Finance;Business Services
AGCB;Altimeter Growth Corp. 2 Class A Ordinary Shares;;2021;Finance;Business Services
AGCO;AGCO Corporation Common Stock;United States;;Capital Goods;Industrial Machinery/Components
AGCUU;Altimeter Growth Corp. Unit;United States;2020;Finance;Business Services
AGCWW;Altimeter Growth Corp. Warrant;United States;2020;Finance;Business Services
AGD;Aberdeen Global Dynamic Dividend Fund;United States;2006;;
AGE;AgeX Therapeutics Inc. Common Stock;;2018;Health Care;Major Pharmaceuticals
AGEN;Agenus Inc. Common Stock;United States;2000;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
AGFS;AgroFresh Solutions Inc. Common Stock;United States;2014;Basic Industries;Agricultural Chemicals
AGFY;Agrify Corporation Common Stock;United States;2021;Consumer Non-Durables;Farming/Seeds/Milling
AGI;Alamos Gold Inc. Class A Common Shares;Canada;2015;Basic Industries;Precious Metals
AGIO;Agios Pharmaceuticals Inc. Common Stock;United States;2013;Health Care;Major Pharmaceuticals
AGLE;Aeglea BioTherapeutics Inc. Common Stock;United States;2016;Health Care;Major Pharmaceuticals
AGM;Federal Agricultural Mortgage Corporation Common Stock;United States;;Finance;Finance Companies
AGM.A;Federal Agricultural Mortgage Corporation Common Stock;;;;
AGM.PRC;Federal Agricultural Mortgage Corporation;;;;
AGM.PRD;Federal Agricultural Mortgage Corporation;;;;
AGM.PRE;Federal Agricultural Mortgage Corporation;;;;
AGM.PRF;Federal Agricultural Mortgage Corporation;;;;
AGMH;AGM Group Holdings Inc. Class A Ordinary Shares;Hong Kong;2018;Technology;EDP Services
AGNC;AGNC Investment Corp. Common Stock;United States;2008;Consumer Services;Real Estate Investment Trusts
AGNCM;AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock;United States;;Consumer Services;Real Estate Investment Trusts
AGNCN;AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock;United States;;Consumer Services;Real Estate Investment Trusts
AGNCO;AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock;United States;;Consumer Services;Real Estate Investment Trusts
AGNCP;AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock;United States;;Consumer Services;Real Estate Investment Trusts
AGO;Assured Guaranty Ltd. Common Stock;Bermuda;2004;Finance;Property-Casualty Insurers
AGO.PRB;Assured Guaranty Ltd.;;;;
AGO.PRE;Assured Guaranty Ltd.;;;;
AGO.PRF;Assured Guaranty Ltd.;;;;
AGR;Avangrid Inc. Common Stock;United States;2015;Public Utilities;Electric Utilities: Central
AGRO;Adecoagro S.A. Common Shares;Luxembourg;2011;Consumer Non-Durables;Farming/Seeds/Milling
AGRX;Agile Therapeutics Inc. Common Stock;United States;2014;Health Care;Major Pharmaceuticals
AGS;PlayAGS Inc. Common Stock;United States;2018;Consumer Durables;Miscellaneous manufacturing industries
AGTC;Applied Genetic Technologies Corporation Common Stock;United States;2014;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
AGX;Argan Inc. Common Stock;United States;;Basic Industries;Engineering & Construction
AGYS;Agilysys Inc. Common Stock;United States;;Technology;EDP Services
AHAC;Alpha Healthcare Acquisition Corp. Class A Common Stock;United States;2020;Finance;Business Services
AHACU;Alpha Healthcare Acquisition Corp. Unit;United States;2020;Finance;Business Services
AHACW;Alpha Healthcare Acquisition Corp. Warrant;United States;2020;Finance;Business Services
AHC;A.H. Belo Corporation (TX) Common Stock;United States;;Consumer Services;Newspapers/Magazines
AHCO;AdaptHealth Corp. Class A Common Stock;United States;2018;Health Care;Medical/Nursing Services
AHH;Armada Hoffler Properties Inc. Common Stock;United States;2013;Finance;Real Estate
AHH.PRA;Armada Hoffler Properties Inc.;;;;
AHL.PRC;Aspen Insurance Holdings Limited;;;;
AHL.PRD;Aspen Insurance Holdings Limited;;;;
AHL.PRE;Aspen Insurance Holdings Limited;;;;
AHPI;Allied Healthcare Products Inc. Common Stock;United States;1992;Health Care;Industrial Specialties
AHT;Ashford Hospitality Trust Inc Common Stock;United States;2003;Consumer Services;Real Estate Investment Trusts
AHT.PRD;Ashford Hospitality Trust Inc;;;;
AHT.PRF;Ashford Hospitality Trust Inc;;;;
AHT.PRG;Ashford Hospitality Trust Inc;;;;
AHT.PRH;Ashford Hospitality Trust Inc;;;;
AHT.PRI;Ashford Hospitality Trust Inc;;;;
AI;C3.ai Inc. Class A Common Stock;;2020;Technology;Computer Software: Prepackaged Software
AIC;Arlington Asset Investment Corp 6.750% Notes due 2025;United States;2015;Consumer Services;Real Estate Investment Trusts
AIF;Apollo Tactical Income Fund Inc. Common Stock;;2013;;
AIG;American International Group Inc. New Common Stock;United States;;Finance;Property-Casualty Insurers
AIG.PRA;American International Group Inc.;;;;
AIH;Aesthetic Medical International Holdings Group Ltd. American Depositary Shares;China;2019;Health Care;Medical Specialities
AIHS;Senmiao Technology Limited Common Stock;China;2018;Finance;Finance: Consumer Services
AIKI;AIkido Pharma Inc. Common Stock;United States;;Health Care;Biotechnology: Commercial Physical & Biological Resarch
AIM;AIM ImmunoTech Inc. Common Stock;United States;;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
AIMC;Altra Industrial Motion Corp. Common Stock;United States;2006;Capital Goods;Industrial Machinery/Components
AIN;Albany International Corporation Common Stock;United States;;Basic Industries;Textiles
AINC;Ashford Inc. (Holding Company) Common Stock;United States;2014;Consumer Services;Professional Services
AINV;Apollo Investment Corporation Common Stock;United States;2004;;
AIO;AllianzGI Artificial Intelligence & Technology Opportunities Fund Common Shares;;2019;;
AIR;AAR Corp. Common Stock;United States;;Capital Goods;Aerospace
AIRC;Apartment Income REIT Corp. Common Stock;;2020;Consumer Services;Real Estate Investment Trusts
AIRG;Airgain Inc. Common Stock;United States;2016;Technology;Radio And Television Broadcasting And Communications Equipment
AIRI;Air Industries Group Common Stock;United States;;Capital Goods;Military/Government/Technical
AIRT;Air T Inc. Common Stock;United States;;Transportation;Air Freight/Delivery Services
AIRTP;Air T Inc. Air T Funding Alpha Income Trust Preferred Securities;United States;;Transportation;Air Freight/Delivery Services
AIRTW;Air T Inc. Air T Funding Warrants to Purchase Alpha Income Trust Preferred Expiring 08/30/2021;United States;;Transportation;Air Freight/Delivery Services
AIT;Applied Industrial Technologies Inc. Common Stock;United States;;Consumer Durables;Industrial Specialties
AIV;Apartment Investment and Management Company Common Stock;United States;1994;Consumer Services;Real Estate Investment Trusts
AIW;Arlington Asset Investment Corp 6.625% Notes due 2023;United States;;Consumer Services;Real Estate Investment Trusts
AIZ;Assurant Inc. Common Stock;United States;2004;Finance;Property-Casualty Insurers
AIZN;Assurant Inc. 5.25% Subordinated Notes due 2061;United States;2020;Finance;Property-Casualty Insurers
AIZP;Assurant Inc. 6.50% Series D Mandatory Convertible Preferred Stock $1.00 par value;United States;;Finance;Property-Casualty Insurers
AJAX;Ajax I Class A Ordinary Shares;United States;2020;Finance;Business Services
AJAX.U;Ajax I Units each consisting of one Class A ordinary share and one-fourth of one redeemable warrant;United States;2020;;
AJAX.WS;Ajax I Redeemable warrants each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50;United States;;;
AJG;Arthur J. Gallagher & Co. Common Stock;United States;;Finance;Specialty Insurers
AJRD;Aerojet Rocketdyne Holdings Inc. Common Stock;United States;;Capital Goods;Military/Government/Technical
AJX;Great Ajax Corp. Common Stock;United States;2015;Consumer Services;Real Estate Investment Trusts
AJXA;Great Ajax Corp. 7.25% Convertible Senior Notes due 2024;United States;2017;Consumer Services;Real Estate Investment Trusts
AKAM;Akamai Technologies Inc. Common Stock;United States;1999;Miscellaneous;Business Services
AKBA;Akebia Therapeutics Inc. Common Stock;United States;2014;Health Care;Major Pharmaceuticals
AKER;Akers Biosciences Inc. Common Stock;United States;2014;Health Care;Biotechnology: In Vitro & In Vivo Diagnostic Substances
AKICU;Sports Ventures Acquisition Corp. Unit;United States;2021;Finance;Business Services
AKO/A;Embotelladora Andina S.A.;Chile;;;
AKO/B;Embotelladora Andina S.A.;Chile;;;
AKR;Acadia Realty Trust Common Stock;United States;;Consumer Services;Real Estate Investment Trusts
AKRO;Akero Therapeutics Inc. Common Stock;United States;2019;Health Care;Major Pharmaceuticals
AKTS;Akoustis Technologies Inc. Common Stock;United States;;Public Utilities;Telecommunications Equipment
AKTX;Akari Therapeutics plc ADR (0.01 USD);United Kingdom;;Health Care;Major Pharmaceuticals
AKU;Akumin Inc. Common Shares;Canada;;Health Care;Medical Specialities
AKUS;Akouos Inc. Common Stock;United States;2020;Health Care;Major Pharmaceuticals
AL;Air Lease Corporation Class A Common Stock;United States;2011;Technology;Diversified Commercial Services
AL.PRA;Air Lease Corporation;;;;
ALAC;Alberton Acquisition Corporation Ordinary Shares;Hong Kong;2018;Finance;Business Services
ALACR;Alberton Acquisition Corporation Rights exp April 26 2021;Hong Kong;2018;Finance;Business Services
ALACU;Alberton Acquisition Corporation Unit;Hong Kong;2018;Finance;Business Services
ALACW;Alberton Acquisition Corporation Warrant;Hong Kong;2018;Finance;Business Services
ALB;Albemarle Corporation Common Stock;United States;;Basic Industries;Major Chemicals
ALBO;Albireo Pharma Inc. Common Stock;United States;;Health Care;Major Pharmaceuticals
ALC;Alcon Inc. Ordinary Shares;Switzerland;2019;Health Care;Ophthalmic Goods
ALCO;Alico Inc. Common Stock;United States;;Consumer Non-Durables;Farming/Seeds/Milling
ALDX;Aldeyra Therapeutics Inc. Common Stock;United States;2014;Health Care;Major Pharmaceuticals
ALE;Allete Inc.;United States;;Public Utilities;Power Generation
ALEC;Alector Inc. Common Stock;United States;2019;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
ALEX;Alexander & Baldwin Inc. Common Stock REIT Holding Company;United States;;Consumer Services;Real Estate Investment Trusts
ALG;Alamo Group Inc. Common Stock;United States;;Capital Goods;Industrial Machinery/Components
ALGM;Allegro MicroSystems Inc. Common Stock;United States;2020;Technology;Semiconductors
ALGN;Align Technology Inc. Common Stock;United States;2001;Health Care;Industrial Specialties
ALGS;Aligos Therapeutics Inc. Common Stock;United States;2020;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
ALGT;Allegiant Travel Company Common Stock;United States;2006;Transportation;Air Freight/Delivery Services
ALIM;Alimera Sciences Inc. Common Stock;United States;2010;Health Care;Major Pharmaceuticals
ALIN.PRA;Altera Infrastructure L.P.;;;;
ALIN.PRB;Altera Infrastructure L.P.;;;;
ALIN.PRE;Altera Infrastructure L.P.;;;;
ALJJ;ALJ Regional Holdings Inc. Common Stock;United States;;Miscellaneous;Business Services
ALK;Alaska Air Group Inc. Common Stock;United States;;Transportation;Air Freight/Delivery Services
ALKS;Alkermes plc Ordinary Shares;Ireland;1991;Health Care;Major Pharmaceuticals
ALL;Allstate Corporation (The) Common Stock;United States;;Finance;Property-Casualty Insurers
ALL.PRB;Allstate Corporation (The);;;;
ALL.PRG;Allstate Corporation (The);;;;
ALL.PRH;Allstate Corporation (The);;;;
ALL.PRI;Allstate Corporation (The);;;;
ALLE;Allegion plc Ordinary Shares;United States;2013;Consumer Services;Diversified Commercial Services
ALLK;Allakos Inc. Common Stock;United States;2018;Health Care;Major Pharmaceuticals
ALLO;Allogene Therapeutics Inc. Common Stock;United States;2018;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
